domain,theme,subtheme,track,status,item_count,mapped_breakthroughs,example,source_url
AI,Reasoning & test-time compute,RL with verifiable rewards & self-play,RND,active,2,reasoning_models,Absolute Zero (zero-data self-play),https://arxiv.org/abs/2505.03335
AI,Reasoning & test-time compute,Test-time / inference compute scaling,RND,active,1,reasoning_models,OpenAI o-series; entropy-gated sparse policy,https://arxiv.org/abs/2412.16720
AI,Reasoning & test-time compute,Formal verification & provable reasoning,RND,active,2,reasoning_models,AxiomProver (Lean 4 / Mathlib),https://github.com/AxiomMath/putnam2025
AI,Reasoning & test-time compute,Agentic reasoning & long-horizon autonomy,BOTH,active,1,reasoning_models,Long-horizon agentic benchmarks,https://arxiv.org/abs/2603.25681
AI,Architecture & efficiency,"MoE, sparse attention & long context",BOTH,active,1,transformers_llms,MiniMax M3 (1M-context sparse attention),https://arxiv.org/abs/2506.13585
AI,Architecture & efficiency,State-space models & attention alternatives,RND,gap,0,,Mamba-3 / hybrid SSM-attention,https://arxiv.org/pdf/2603.15569
AI,Architecture & efficiency,Quantization & custom kernels,BOTH,gap,0,,Transformer Lab fused INT8 for diffusion (RTX 3090),https://arxiv.org/abs/2606.14598
AI,Architecture & efficiency,Small / on-device / edge models,BOTH,gap,0,,Phi / Qwen3-8B; >2B phones running local SLMs,https://www.dell.com/en-us/blog/the-power-of-small-edge-ai-predictions-for-2026/
AI,Architecture & efficiency,Diffusion language models,RND,gap,0,,Survey on parallel text generation,https://arxiv.org/abs/2508.08712
AI,Multimodal & generative media,Diffusion transformers (image),BOTH,active,1,diffusion_models,Ideogram / Midjourney / Imagen,https://arxiv.org/abs/2212.09748
AI,Multimodal & generative media,Video generation,BOTH,active,1,diffusion_models,Runway Gen-4.5; Sora 2,https://runwayml.com/research
AI,Multimodal & generative media,World models / neural simulation,RND,active,1,diffusion_models,NVIDIA Cosmos 3; Google Genie 3,https://www.nvidia.com/en-us/ai/cosmos/
AI,Multimodal & generative media,One-step / real-time generation,RND,active,1,diffusion_models,Consistency/distillation samplers,https://arxiv.org/abs/2303.01469
AI,"Data, memory & evaluation foundations",Memory & continual learning,RND,gap,0,,MemoryAgentBench (ICLR 2026),https://arxiv.org/abs/2605.06716
AI,"Data, memory & evaluation foundations",Synthetic data & curation,RND,gap,0,,Demystifying synthetic pretraining data,https://arxiv.org/pdf/2510.01631
AI,"Data, memory & evaluation foundations",Evaluation science & benchmark saturation,RND,gap,0,,Humanity's Last Exam; benchmark-saturation study,https://arxiv.org/pdf/2602.16763
AI,"Data, memory & evaluation foundations",RL environments as infrastructure,RND,gap,0,,Scale — RL environments,https://scale.com/blog/rl-environments
AI,"Safety, interpretability & governance",Mechanistic interpretability,RND,gap,0,,Anthropic interpretability program,https://www.anthropic.com/research/team/interpretability
AI,"Safety, interpretability & governance","Alignment & oversight (RLHF→Constitutional, scheming)",BOTH,active,1,reasoning_models,Stress-testing deliberative alignment,https://arxiv.org/pdf/2509.15541
AI,"Safety, interpretability & governance",AI governance & safety incidents,BOTH,gap,0,,International AI Safety Report 2026,https://internationalaisafetyreport.org/publication/international-ai-safety-report-2026
AI,"Safety, interpretability & governance",AI for cybersecurity (offense/defense),RND,gap,0,,Industrialization of cyber offense,https://arxiv.org/html/2605.06713v1
AI,AI for science,Autonomous research & hypothesis generation,RND,active,2,reasoning_models,Mythos autonomous hypotheses,https://www.anthropic.com/news/claude-fable-5-mythos-5
AI,AI for science,"Scientific foundation models (materials, climate)",RND,gap,0,,GNoME materials; NeuralGCM weather,https://hai.stanford.edu/ai-index/2026-ai-index-report/science
AI,Agents & developer ecosystem,Coding agents,PRODUCT,active,2,transformers_llms,Cursor; Cognition/Devin,https://www.cursor.com/
AI,Agents & developer ecosystem,"Agent primitives (MCP, Skills, SDKs)",PRODUCT,active,1,ai_dev_ecosystem,Model Context Protocol; Agent Skills,https://modelcontextprotocol.io/
